dataset,strategy,seed,metric,value
mnist,mf,43,mia_improvement,-0.0007
mnist,mf,43,js_divergence_mean,0.3039
mnist,mf,43,activation_cosine_similarity,0.3981
mnist,mf,43,retrain_fraction,0.0400
mnist,mf,44,utility_accuracy_test,0.4062
mnist,mf,44,unlearning_score,0.5881
mnist,mf,44,forget_confidence_mean_unlearned,0.5418
mnist,mf,44,forget_entropy_mean_unlearned,1.3093
mnist,mf,44,mia_accuracy_unlearned,0.4952
mnist,mf,44,mia_improvement,0.0040
mnist,mf,44,js_divergence_mean,0.3520
mnist,mf,44,activation_cosine_similarity,0.3507
mnist,mf,44,retrain_fraction,0.0400
mnist,mf,45,utility_accuracy_test,0.3501
mnist,mf,45,unlearning_score,0.6505
mnist,mf,45,forget_confidence_mean_unlearned,0.4878
mnist,mf,45,forget_entropy_mean_unlearned,1.4745
mnist,mf,45,mia_accuracy_unlearned,0.4977
mnist,mf,45,mia_improvement,0.0001
mnist,mf,45,js_divergence_mean,0.3888
mnist,mf,45,activation_cosine_similarity,0.2999
mnist,mf,45,retrain_fraction,0.0400
mnist,mf,46,utility_accuracy_test,0.4908
mnist,mf,46,unlearning_score,0.5060
mnist,mf,46,forget_confidence_mean_unlearned,0.5658
mnist,mf,46,forget_entropy_mean_unlearned,1.2355
mnist,mf,46,mia_accuracy_unlearned,0.4966
mnist,mf,46,mia_improvement,0.0039
mnist,mf,46,js_divergence_mean,0.3185
mnist,mf,46,activation_cosine_similarity,0.3857
mnist,mf,46,retrain_fraction,0.0400
mnist,mf,47,utility_accuracy_test,0.5127
mnist,mf,47,unlearning_score,0.4836
mnist,mf,47,forget_confidence_mean_unlearned,0.5930
mnist,mf,47,forget_entropy_mean_unlearned,1.1561
mnist,mf,47,mia_accuracy_unlearned,0.5018
mnist,mf,47,mia_improvement,-0.0069
mnist,mf,47,js_divergence_mean,0.3027
mnist,mf,47,activation_cosine_similarity,0.4293
mnist,mf,47,retrain_fraction,0.0400
mnist,mf,48,utility_accuracy_test,0.3999
mnist,mf,48,unlearning_score,0.5940
mnist,mf,48,forget_confidence_mean_unlearned,0.5816
mnist,mf,48,forget_entropy_mean_unlearned,1.1768
mnist,mf,48,mia_accuracy_unlearned,0.4992
mnist,mf,48,mia_improvement,-0.0022
mnist,mf,48,js_divergence_mean,0.3497
mnist,mf,48,activation_cosine_similarity,0.3538
mnist,mf,48,retrain_fraction,0.0400
mnist,mf,49,utility_accuracy_test,0.5679
mnist,mf,49,unlearning_score,0.4269
mnist,mf,49,forget_confidence_mean_unlearned,0.6605
mnist,mf,49,forget_entropy_mean_unlearned,0.9601
mnist,mf,49,mia_accuracy_unlearned,0.5019
mnist,mf,49,mia_improvement,-0.0027
mnist,mf,49,js_divergence_mean,0.2642
mnist,mf,49,activation_cosine_similarity,0.4706
mnist,mf,49,retrain_fraction,0.0400
mnist,mf,50,utility_accuracy_test,0.4167
mnist,mf,50,unlearning_score,0.5847
mnist,mf,50,forget_confidence_mean_unlearned,0.4657
mnist,mf,50,forget_entropy_mean_unlearned,1.5076
mnist,mf,50,mia_accuracy_unlearned,0.4994
mnist,mf,50,mia_improvement,0.0022
mnist,mf,50,js_divergence_mean,0.3722
mnist,mf,50,activation_cosine_similarity,0.3177
mnist,mf,50,retrain_fraction,0.0400
mnist,mf,51,utility_accuracy_test,0.4315
