dataset,strategy,seed,metric,value
mnist,mf,44,forget_confidence_mean_unlearned,0.6475
mnist,mf,44,forget_entropy_mean_unlearned,0.9954
mnist,mf,44,mia_accuracy_unlearned,0.5100
mnist,mf,44,mia_improvement,0.0080
mnist,mf,44,js_divergence_mean,0.3075
mnist,mf,44,activation_cosine_similarity,0.4551
mnist,mf,44,retrain_fraction,0.0440
mnist,mf,45,utility_accuracy_test,0.4724
mnist,mf,45,unlearning_score,0.5091
mnist,mf,45,forget_confidence_mean_unlearned,0.6178
mnist,mf,45,forget_entropy_mean_unlearned,1.1013
mnist,mf,45,mia_accuracy_unlearned,0.5183
mnist,mf,45,mia_improvement,-0.0003
mnist,mf,45,js_divergence_mean,0.3158
mnist,mf,45,activation_cosine_similarity,0.4544
mnist,mf,45,retrain_fraction,0.0440
mnist,mf,46,utility_accuracy_test,0.4606
mnist,mf,46,unlearning_score,0.5460
mnist,mf,46,forget_confidence_mean_unlearned,0.5635
mnist,mf,46,forget_entropy_mean_unlearned,1.2558
mnist,mf,46,mia_accuracy_unlearned,0.5191
mnist,mf,46,mia_improvement,-0.0024
mnist,mf,46,js_divergence_mean,0.3306
mnist,mf,46,activation_cosine_similarity,0.4629
mnist,mf,46,retrain_fraction,0.0440
mnist,mf,47,utility_accuracy_test,0.4309
mnist,mf,47,unlearning_score,0.5657
mnist,mf,47,forget_confidence_mean_unlearned,0.5505
mnist,mf,47,forget_entropy_mean_unlearned,1.2790
mnist,mf,47,mia_accuracy_unlearned,0.5213
mnist,mf,47,mia_improvement,-0.0065
mnist,mf,47,js_divergence_mean,0.3451
mnist,mf,47,activation_cosine_similarity,0.4397
mnist,mf,47,retrain_fraction,0.0440
mnist,mf,48,utility_accuracy_test,0.5281
mnist,mf,48,unlearning_score,0.4710
mnist,mf,48,forget_confidence_mean_unlearned,0.6627
mnist,mf,48,forget_entropy_mean_unlearned,0.9727
mnist,mf,48,mia_accuracy_unlearned,0.5384
mnist,mf,48,mia_improvement,-0.0167
mnist,mf,48,js_divergence_mean,0.2929
mnist,mf,48,activation_cosine_similarity,0.5111
mnist,mf,48,retrain_fraction,0.0440
mnist,mf,49,utility_accuracy_test,0.5768
mnist,mf,49,unlearning_score,0.4420
mnist,mf,49,forget_confidence_mean_unlearned,0.6090
mnist,mf,49,forget_entropy_mean_unlearned,1.1137
mnist,mf,49,mia_accuracy_unlearned,0.5302
mnist,mf,49,mia_improvement,-0.0068
mnist,mf,49,js_divergence_mean,0.2752
mnist,mf,49,activation_cosine_similarity,0.4709
mnist,mf,49,retrain_fraction,0.0440
mnist,mf,50,utility_accuracy_test,0.4320
mnist,mf,50,unlearning_score,0.5577
mnist,mf,50,forget_confidence_mean_unlearned,0.5720
mnist,mf,50,forget_entropy_mean_unlearned,1.2311
mnist,mf,50,mia_accuracy_unlearned,0.5317
mnist,mf,50,mia_improvement,-0.0157
mnist,mf,50,js_divergence_mean,0.3414
mnist,mf,50,activation_cosine_similarity,0.4194
mnist,mf,50,retrain_fraction,0.0440
mnist,mf,51,utility_accuracy_test,0.4118
mnist,mf,51,unlearning_score,0.5823
mnist,mf,51,forget_confidence_mean_unlearned,0.5410
mnist,mf,51,forget_entropy_mean_unlearned,1.2942
mnist,mf,51,mia_accuracy_unlearned,0.5221
mnist,mf,51,mia_improvement,-0.0061
mnist,mf,51,js_divergence_mean,0.3473
mnist,mf,51,activation_cosine_similarity,0.3940
mnist,mf,51,retrain_fraction,0.0440
adult,exact_retraining,42,utility_accuracy_test,0.8499
adult,exact_retraining,42,unlearning_score,0.0340
adult,exact_retraining,42,forget_confidence_mean_unlearned,0.8555
adult,exact_retraining,42,forget_entropy_mean_unlearned,0.3133
adult,exact_retraining,42,mia_accuracy_unlearned,0.5290
adult,exact_retraining,42,mia_improvement,0.0295
adult,exact_retraining,42,js_divergence_mean,0.0195
adult,exact_retraining,42,activation_cosine_similarity,0.0562
adult,exact_retraining,42,retrain_fraction,0.7484
adult,exact_retraining,43,utility_accuracy_test,0.8439
adult,exact_retraining,43,unlearning_score,0.0411
adult,exact_retraining,43,forget_confidence_mean_unlearned,0.8573
adult,exact_retraining,43,forget_entropy_mean_unlearned,0.3107
adult,exact_retraining,43,mia_accuracy_unlearned,0.5640
adult,exact_retraining,43,mia_improvement,0.0044
adult,exact_retraining,43,js_divergence_mean,0.0211
adult,exact_retraining,43,activation_cosine_similarity,0.0708
adult,exact_retraining,43,retrain_fraction,0.7484
adult,exact_retraining,44,utility_accuracy_test,0.8442
adult,exact_retraining,44,unlearning_score,0.0415
adult,exact_retraining,44,forget_confidence_mean_unlearned,0.8523
adult,exact_retraining,44,forget_entropy_mean_unlearned,0.3188
adult,exact_retraining,44,mia_accuracy_unlearned,0.5367
adult,exact_retraining,44,mia_improvement,0.0339
adult,exact_retraining,44,js_divergence_mean,0.0213
adult,exact_retraining,44,activation_cosine_similarity,0.0743
adult,exact_retraining,44,retrain_fraction,0.7484
adult,exact_retraining,45,utility_accuracy_test,0.8463
adult,exact_retraining,45,unlearning_score,0.0351
adult,exact_retraining,45,forget_confidence_mean_unlearned,0.8544
adult,exact_retraining,45,forget_entropy_mean_unlearned,0.3159
adult,exact_retraining,45,mia_accuracy_unlearned,0.5573
adult,exact_retraining,45,mia_improvement,0.0072
adult,exact_retraining,45,js_divergence_mean,0.0211
adult,exact_retraining,45,activation_cosine_similarity,0.0443
adult,exact_retraining,45,retrain_fraction,0.7484
adult,exact_retraining,46,utility_accuracy_test,0.8511
adult,exact_retraining,46,unlearning_score,0.0369
adult,exact_retraining,46,forget_confidence_mean_unlearned,0.8545
adult,exact_retraining,46,forget_entropy_mean_unlearned,0.3152
adult,exact_retraining,46,mia_accuracy_unlearned,0.5538
adult,exact_retraining,46,mia_improvement,0.0132
adult,exact_retraining,46,js_divergence_mean,0.0223
adult,exact_retraining,46,activation_cosine_similarity,0.0472
adult,exact_retraining,46,retrain_fraction,0.7484
adult,exact_retraining,47,utility_accuracy_test,0.8281
adult,exact_retraining,47,unlearning_score,0.0522
adult,exact_retraining,47,forget_confidence_mean_unlearned,0.8506
adult,exact_retraining,47,forget_entropy_mean_unlearned,0.3223
adult,exact_retraining,47,mia_accuracy_unlearned,0.5656
adult,exact_retraining,47,mia_improvement,0.0074
adult,exact_retraining,47,js_divergence_mean,0.0218
adult,exact_retraining,47,activation_cosine_similarity,0.0609
adult,exact_retraining,47,retrain_fraction,0.7484
adult,exact_retraining,48,utility_accuracy_test,0.8372
adult,exact_retraining,48,unlearning_score,0.0357
adult,exact_retraining,48,forget_confidence_mean_unlearned,0.8541
adult,exact_retraining,48,forget_entropy_mean_unlearned,0.3174
adult,exact_retraining,48,mia_accuracy_unlearned,0.5582
adult,exact_retraining,48,mia_improvement,0.0047
adult,exact_retraining,48,js_divergence_mean,0.0206
adult,exact_retraining,48,activation_cosine_similarity,0.0612
adult,exact_retraining,48,retrain_fraction,0.7484
adult,exact_retraining,49,utility_accuracy_test,0.8309
adult,exact_retraining,49,unlearning_score,0.0537
adult,exact_retraining,49,forget_confidence_mean_unlearned,0.8543
adult,exact_retraining,49,forget_entropy_mean_unlearned,0.3162
adult,exact_retraining,49,mia_accuracy_unlearned,0.5541
adult,exact_retraining,49,mia_improvement,0.0155
adult,exact_retraining,49,js_divergence_mean,0.0220
adult,exact_retraining,49,activation_cosine_similarity,0.0608
adult,exact_retraining,49,retrain_fraction,0.7484
adult,exact_retraining,50,utility_accuracy_test,0.8498
adult,exact_retraining,50,unlearning_score,0.0355
adult,exact_retraining,50,forget_confidence_mean_unlearned,0.8546
adult,exact_retraining,50,forget_entropy_mean_unlearned,0.3144
adult,exact_retraining,50,mia_accuracy_unlearned,0.5510
adult,exact_retraining,50,mia_improvement,0.0364
adult,exact_retraining,50,js_divergence_mean,0.0204
adult,exact_retraining,50,activation_cosine_similarity,0.0723
adult,exact_retraining,50,retrain_fraction,0.7484
adult,exact_retraining,51,utility_accuracy_test,0.8445
adult,exact_retraining,51,unlearning_score,0.0337
adult,exact_retraining,51,forget_confidence_mean_unlearned,0.8554
adult,exact_retraining,51,forget_entropy_mean_unlearned,0.3138
adult,exact_retraining,51,mia_accuracy_unlearned,0.5440
adult,exact_retraining,51,mia_improvement,0.0229
adult,exact_retraining,51,js_divergence_mean,0.0227
adult,exact_retraining,51,activation_cosine_similarity,0.0616
adult,exact_retraining,51,retrain_fraction,0.7484
adult,federated_exact_retraining,42,utility_accuracy_test,0.8219
adult,federated_exact_retraining,42,unlearning_score,0.0373
adult,federated_exact_retraining,42,forget_confidence_mean_unlearned,0.9320
adult,federated_exact_retraining,42,forget_entropy_mean_unlearned,0.1609
adult,federated_exact_retraining,42,mia_accuracy_unlearned,0.5840
adult,federated_exact_retraining,42,mia_improvement,-0.0184
adult,federated_exact_retraining,42,js_divergence_mean,0.0304
adult,federated_exact_retraining,43,utility_accuracy_test,0.8259
adult,federated_exact_retraining,43,unlearning_score,0.0320
adult,federated_exact_retraining,43,forget_confidence_mean_unlearned,0.9293
adult,federated_exact_retraining,43,forget_entropy_mean_unlearned,0.1669
adult,federated_exact_retraining,43,mia_accuracy_unlearned,0.5892
adult,federated_exact_retraining,43,mia_improvement,-0.0131
adult,federated_exact_retraining,43,js_divergence_mean,0.0250
adult,federated_exact_retraining,44,utility_accuracy_test,0.8204
adult,federated_exact_retraining,44,unlearning_score,0.0386
adult,federated_exact_retraining,44,forget_confidence_mean_unlearned,0.9305
adult,federated_exact_retraining,44,forget_entropy_mean_unlearned,0.1625
adult,federated_exact_retraining,44,mia_accuracy_unlearned,0.6035
adult,federated_exact_retraining,44,mia_improvement,-0.0198
adult,federated_exact_retraining,44,js_divergence_mean,0.0279
adult,federated_exact_retraining,45,utility_accuracy_test,0.8233
adult,federated_exact_retraining,45,unlearning_score,0.0374
adult,federated_exact_retraining,45,forget_confidence_mean_unlearned,0.9309
adult,federated_exact_retraining,45,forget_entropy_mean_unlearned,0.1645
adult,federated_exact_retraining,45,mia_accuracy_unlearned,0.5938
adult,federated_exact_retraining,45,mia_improvement,-0.0278
adult,federated_exact_retraining,45,js_divergence_mean,0.0278
adult,federated_exact_retraining,46,utility_accuracy_test,0.8205
adult,federated_exact_retraining,46,unlearning_score,0.0393
adult,federated_exact_retraining,46,forget_confidence_mean_unlearned,0.9285
adult,federated_exact_retraining,46,forget_entropy_mean_unlearned,0.1685
adult,federated_exact_retraining,46,mia_accuracy_unlearned,0.5817
adult,federated_exact_retraining,46,mia_improvement,-0.0146
adult,federated_exact_retraining,46,js_divergence_mean,0.0265
adult,federated_exact_retraining,47,utility_accuracy_test,0.8216
adult,federated_exact_retraining,47,unlearning_score,0.0439
adult,federated_exact_retraining,47,forget_confidence_mean_unlearned,0.9290
adult,federated_exact_retraining,47,forget_entropy_mean_unlearned,0.1685
adult,federated_exact_retraining,47,mia_accuracy_unlearned,0.5896
adult,federated_exact_retraining,47,mia_improvement,-0.0223
adult,federated_exact_retraining,47,js_divergence_mean,0.0305
adult,federated_exact_retraining,48,utility_accuracy_test,0.8311
adult,federated_exact_retraining,48,unlearning_score,0.0426
adult,federated_exact_retraining,48,forget_confidence_mean_unlearned,0.9279
adult,federated_exact_retraining,48,forget_entropy_mean_unlearned,0.1689
adult,federated_exact_retraining,48,mia_accuracy_unlearned,0.5927
adult,federated_exact_retraining,48,mia_improvement,-0.0197
adult,federated_exact_retraining,48,js_divergence_mean,0.0235
adult,federated_exact_retraining,49,utility_accuracy_test,0.8279
adult,federated_exact_retraining,49,unlearning_score,0.0471
adult,federated_exact_retraining,49,forget_confidence_mean_unlearned,0.9316
adult,federated_exact_retraining,49,forget_entropy_mean_unlearned,0.1629
adult,federated_exact_retraining,49,mia_accuracy_unlearned,0.6055
adult,federated_exact_retraining,49,mia_improvement,-0.0237
adult,federated_exact_retraining,49,js_divergence_mean,0.0273
adult,federated_exact_retraining,50,utility_accuracy_test,0.8112
adult,federated_exact_retraining,50,unlearning_score,0.0414
adult,federated_exact_retraining,50,forget_confidence_mean_unlearned,0.9296
adult,federated_exact_retraining,50,forget_entropy_mean_unlearned,0.1662
adult,federated_exact_retraining,50,mia_accuracy_unlearned,0.6047
adult,federated_exact_retraining,50,mia_improvement,-0.0094
adult,federated_exact_retraining,50,js_divergence_mean,0.0263
adult,federated_exact_retraining,51,utility_accuracy_test,0.8238
adult,federated_exact_retraining,51,unlearning_score,0.0431
adult,federated_exact_retraining,51,forget_confidence_mean_unlearned,0.9317
adult,federated_exact_retraining,51,forget_entropy_mean_unlearned,0.1634
adult,federated_exact_retraining,51,mia_accuracy_unlearned,0.5955
adult,federated_exact_retraining,51,mia_improvement,-0.0076
adult,federated_exact_retraining,51,js_divergence_mean,0.0262
